Date,Age,Gender,Sleep Start Time,Sleep End Time,Total Sleep Hours,Sleep Quality,Exercise (mins/day),Screen Time Before Bed (mins),Work Hours (hrs/day),Productivity Score,Mood Score,Stress Level,Weekday
2024-04-12,30,2,23.33,4.61,5.28,3,86,116,8.80892009394567,8,3,6,Friday
2024-11-04,40,0,21.02,2.43,5.41,5,32,88,6.329833121584335,10,3,7,Monday
2024-08-31,20,1,22.1,3.45,5.35,7,17,59,8.506305742764315,10,9,10,Saturday
2024-02-22,30,2,23.1,6.65,7.55,8,46,80,6.070239852800135,8,4,2,Thursday
2024-02-23,40,2,21.42,4.17,6.75,10,61,94,11.374993880184936,8,7,9,Friday
2024-07-08,30,1,21.77,6.41,8.64,10,88,123,6.207993456180347,1,9,7,Monday
2024-01-09,10,2,22.83,6.87,8.03,3,34,122,4.592357213872723,7,10,9,Tuesday
2024-01-28,20,0,20.78,3.14,6.35,8,36,171,9.100459770841706,3,1,3,Sunday
2024-04-10,30,2,20.07,3.37,7.31,7,26,14,4.887126566494651,3,7,1,Wednesday
2024-02-21,40,0,20.37,3.89,7.52,4,12,70,6.318011623310144,6,2,10,Wednesday
2024-02-14,40,0,21.17,3.29,6.12,7,88,128,5.8234813003355335,9,4,9,Wednesday
2024-09-15,20,2,20.6,4.56,7.96,10,43,58,6.585623456166042,8,9,4,Sunday
2024-04-22,20,0,22.02,6.08,8.06,5,55,112,11.812919646661223,6,7,5,Monday
2024-08-11,10,2,21.02,4.17,7.15,10,31,159,8.741573791035147,7,8,1,Sunday
2024-09-11,40,1,23.55,7.22,7.67,1,72,69,9.566502454327054,3,4,4,Wednesday
2024-12-11,30,2,23.67,7.62,7.95,7,81,10,6.728530808402068,9,2,7,Wednesday
2024-10-24,30,0,23.93,7.02,7.08,1,1,139,8.46634762885678,7,9,9,Thursday
2024-04-08,20,0,23.53,7.24,7.71,1,71,83,8.645492971491638,9,3,9,Monday
2024-12-14,30,0,21.57,5.33,7.76,9,32,32,7.951149721467477,4,8,8,Saturday
2024-05-14,30,1,23.18,6.23,7.04,6,21,157,11.784084438019566,3,6,8,Tuesday
2024-10-09,30,0,20.45,4.29,7.84,1,68,3,4.194527731451631,1,1,5,Wednesday
2024-01-06,40,1,20.75,6.08,9.33,3,59,159,10.809093372134855,3,2,9,Saturday
2024-08-10,20,0,23.82,7.39,7.58,6,22,154,6.36232470735151,10,1,8,Saturday
2024-10-25,50,1,21.9,4.5,6.6,2,24,59,8.090739190887502,9,4,4,Friday
2024-11-16,30,0,23.83,6.02,6.19,2,65,85,6.625221339797855,10,6,10,Saturday
2024-02-27,50,0,22.88,6.07,7.19,5,7,59,5.726568219974745,5,7,4,Tuesday
2024-09-18,40,0,22.57,6.25,7.69,4,15,113,8.130402786409562,3,1,8,Wednesday
2024-11-14,40,1,21.87,2.77,4.9,9,11,57,11.321709821011844,2,6,9,Thursday
2024-08-24,50,2,20.35,4.5,8.15,3,75,143,5.269171581139928,6,9,5,Saturday
2024-02-16,20,0,21.78,6.32,8.53,4,32,100,7.188037875178988,10,6,5,Friday
2024-04-09,40,0,21.3,4.32,7.02,1,68,15,4.564549979203439,7,2,1,Tuesday
2024-06-08,40,0,22.98,4.13,5.14,3,42,11,7.088821102406194,1,8,10,Saturday
2024-02-12,40,1,23.5,5.89,6.39,3,34,80,9.245781083045935,10,10,10,Monday
2024-04-24,20,0,20.82,4.46,7.64,8,35,20,11.74064441216198,4,10,5,Wednesday
2024-07-10,50,0,20.63,4.04,7.4,7,61,36,5.908774878322721,7,7,9,Wednesday
2024-12-20,40,1,20.32,4.95,8.63,6,12,18,7.113613429873305,9,3,9,Friday
2024-10-10,40,2,21.77,2.68,4.92,5,11,179,9.380147648616308,4,5,7,Thursday
2024-05-23,50,0,22.22,5.46,7.25,5,34,74,4.936536131420847,9,10,10,Thursday
2024-09-09,30,0,20.82,5.78,8.96,2,4,164,5.865824579396223,8,1,6,Monday
2024-05-24,20,1,20.05,2.3,6.25,3,60,166,7.39377607397581,10,3,7,Friday
2024-05-05,30,0,23.95,8.15,8.2,8,60,130,8.666950120777276,9,1,9,Sunday
2024-11-07,50,1,21.95,2.51,4.56,5,79,163,8.430834275210566,4,9,2,Thursday
2024-02-16,30,2,22.0,5.64,7.64,6,2,11,11.66961925926277,8,6,8,Friday
2024-06-04,20,0,23.58,6.4,6.82,10,59,27,4.621877095719879,9,4,6,Tuesday
2024-05-24,50,1,23.2,7.12,7.92,3,5,114,9.80575606710688,9,2,10,Friday
2024-11-07,20,2,23.53,7.92,8.39,2,48,84,9.996626399808576,9,6,1,Thursday
2024-04-07,10,1,23.9,8.72,8.82,1,68,101,11.305326018061145,7,5,5,Sunday
2024-06-13,20,2,20.33,3.09,6.75,1,50,3,5.829142444027702,1,8,2,Thursday
2024-12-13,50,0,21.55,4.43,6.88,3,49,53,11.743790123518584,9,1,7,Friday
2024-07-25,30,0,21.17,2.73,5.56,6,63,37,8.86470279633508,2,3,2,Thursday
